plate,mjd,fiberid,run2d,specobj_id,ra,dec,sn_median_r,z,zerr,zwarning,class,subclass
7847,57012,409,'v5_10_0','Decimal(''8835049111700873216'')',23.188772,-0.769442,25.44,1.47164,0.00021,0,'QSO','BROADLINE'
7868,57006,388,'v5_10_0','Decimal(''8858687237207859200'')',8.632251,-0.220212,30.93,0.381015,1.70E-05,0,'QSO','BROADLINE'
402,51793,109,'26',Decimal('452641754324166656'),27.972101,-0.480613,25.14,1.99617,0.000172,0,'QSO','BROADLINE'
402,51793,260,'26',Decimal('452683260888115200'),27.462341,-1.05397,30.08,1.07306,0.000287,0,'QSO','BROADLINE'
403,51871,529,'26',Decimal('453883104260548608'),29.791851,1.087401,28.61,0.217646,4.60E-05,0,'QSO','BROADLINE'
405,51816,314,'26',Decimal('456075804401494016'),32.461286,-0.085122,33.92,2.85554,0.000377,0,'QSO','BROADLINE'
406,51817,215,'26',Decimal('457174491412326400'),35.693606,-0.81006,31.22,1.54209,0.000195,0,'QSO','BROADLINE'
406,51869,210,'26',Decimal('457173117895206912'),35.693606,-0.81006,34.26,1.54222,0.000171,0,'QSO','BROADLINE'
406,51876,214,'26',Decimal('457174217524275200'),35.693606,-0.81006,32.3,1.54168,0.000208,0,'QSO','BROADLINE'
406,51900,207,'26',Decimal('457172293781579776'),35.693606,-0.81006,30.02,1.54156,0.000212,0,'QSO','BROADLINE'
406,52238,201,'26',Decimal('457170650184837120'),35.693606,-0.81006,36.17,1.54291,0.000173,0,'QSO','BROADLINE'
430,51877,377,'26',Decimal('484240620404107264'),28.357289,14.87596,27.78,1.17498,0.000257,0,'QSO','BROADLINE'
454,51908,461,'26',Decimal('511285308432607232'),36.450668,-8.052172,40.84,1.12968,0.000128,0,'QSO','BROADLINE'
455,51909,164,'26',Decimal('512329569617864704'),39.025987,-8.715865,33.34,0.893396,0.000159,0,'QSO','BROADLINE'
455,51909,188,'26',Decimal('512336166687631360'),38.84114,-8.541475,44.47,1.23641,0.00022,0,'QSO','BROADLINE'
457,51901,164,'26',Decimal('514581369297332224'),43.438725,-8.064833,13.77,2.08869,0.000542,0,'QSO','BROADLINE'
457,51901,495,'26',Decimal('514672353884530688'),43.56091,-7.576531,28.21,1.47122,0.000408,0,'QSO','BROADLINE'
665,52168,597,'26',Decimal('748887576533821440'),28.875082,-8.951116,36.99,0.164703,1.60E-05,0,'QSO','BROADLINE'
704,52205,217,'26',Decimal('792693219916802048'),35.693606,-0.81006,31.37,1.54289,0.000187,0,'QSO','BROADLINE'
3114,54773,369,'104',Decimal('3506153819933351936'),28.3573,14.876,57.16,1.17594,7.30E-05,0,'QSO','BROADLINE'
3650,55244,722,'v5_10_0',Decimal('4109733209805135872'),40.067081,0.59721,34.48,2.81678,0.000643,0,'QSO','BROADLINE'
4232,55447,202,'v5_10_0',Decimal('4764864022481707008'),27.462348,-1.053942,35.28,1.07316,0.000187,0,'QSO','BROADLINE'
4233,55449,460,'v5_10_0',Decimal('4766060840922095616'),27.972104,-0.480628,32.36,2.00048,0.000152,0,'QSO','BROADLINE'
4234,55478,590,'v5_10_0',Decimal('4767222475443380224'),29.791907,1.087369,43.5,0.217431,2.20E-05,0,'QSO','BROADLINE'
4236,55479,488,'v5_10_0',Decimal('4769446237727334400'),32.461303,-0.085136,50.77,2.85004,0.000251,0,'QSO','BROADLINE'
4237,55478,218,'v5_10_0',Decimal('4770497920582524928'),35.693616,-0.810041,47.24,1.54089,0.000151,0,'QSO','BROADLINE'
4259,55501,722,'v5_10_0',Decimal('4795406257384038400'),42.073726,2.691235,14.6,0.80364,0.000108,0,'QSO','BROADLINE'
4261,55503,108,'v5_10_0',Decimal('4797489282196414464'),40.9575,2.022972,9.33,0.792505,5.10E-05,0,'GALAXY',''
4263,55484,669,'v5_10_0',Decimal('4799895288197128192'),37.6494,3.466851,22.56,0.833421,8.50E-05,0,'QSO','BROADLINE'
4266,55486,786,'v5_10_0',Decimal('4803305148666322944'),32.736997,5.559553,15.23,0.372538,1.70E-05,0,'QSO','BROADLINE'
4341,55538,322,'v5_10_0',Decimal('4887620099203112960'),43.329072,-3.320251,11.52,0.465816,4.00E-05,0,'QSO','STARBURST BROADLINE'
4347,55830,732,'v5_10_0',Decimal('4894488203484962816'),30.961912,-2.114199,21.56,0.96837,0.00026,0,'QSO','BROADLINE'
4386,55540,610,'v5_10_0',Decimal('4938364759881785344'),37.968546,-3.746509,29.85,1.02861,0.000148,0,'QSO','BROADLINE'
4389,55539,102,'v5_10_0',Decimal('4941602821608808448'),39.02601,-8.715891,43.87,0.892947,9.00E-05,0,'QSO','BROADLINE'
4389,55539,151,'v5_10_0',Decimal('4941616290626248704'),38.841138,-8.541482,46.48,1.23779,0.000136,0,'QSO','BROADLINE'
4392,55833,772,'v5_10_0',Decimal('4945164694459490304'),36.450669,-8.052177,46.01,1.13087,8.60E-05,0,'QSO','BROADLINE'
4399,55811,10,'v5_10_0',Decimal('4952836536473198592'),39.984812,-6.905793,14.44,0.482738,4.20E-05,0,'QSO','STARBURST BROADLINE'
4530,55564,840,'v5_10_0',Decimal('5100557568788373504'),28.626395,10.715152,20.56,0.460009,2.80E-05,0,'QSO','BROADLINE'
4656,55828,304,'v5_10_0',Decimal('5242273626921607168'),29.342784,11.623315,28.17,0.438481,2.00E-05,0,'QSO','STARBURST BROADLINE'
4659,55587,500,'v5_10_0',Decimal('5245705198668587008'),26.363502,11.943339,13.64,1.34028,0.00032,0,'QSO','BROADLINE'
5112,55895,722,'v5_10_0',Decimal('5755798884531019776'),27.572537,24.02981,19.48,0.56624,6.90E-05,0,'QSO','BROADLINE'
5123,55841,82,'v5_10_0',Decimal('5768007860739874816'),28.35728,14.875969,26.66,1.17662,0.000144,0,'QSO','BROADLINE'
6269,56246,258,'v5_10_0',Decimal('7058337539287916544'),27.150532,29.021633,15.57,0.693599,5.80E-05,0,'QSO','BROADLINE'
6369,56217,92,'v5_10_0',Decimal('7170881899753086976'),36.753232,-4.33907,32.74,0.053222,1.80E-05,0,'QSO','STARBURST BROADLINE'
6369,56217,216,'v5_10_0',Decimal('7170915984613548032'),36.131633,-5.47192,37.93,2.08458,0.000225,0,'QSO','BROADLINE'
6369,56217,586,'v5_10_0',Decimal('7171017689439117312'),35.164534,-3.138976,21.27,0.45182,3.40E-05,0,'QSO','BROADLINE'
6369,56217,795,'v5_10_0',Decimal('7171075138921668608'),36.092803,-3.181842,31.11,1.22472,0.000178,0,'QSO','BROADLINE'
6601,56335,226,'v5_10_0',Decimal('7432127513759817728'),26.168067,30.429807,5.54,0.617613,3.30E-05,0,'QSO','BROADLINE'
7055,56576,348,'v5_10_0',Decimal('7943319610614325248'),40.570968,-6.528815,20.49,0.481928,2.90E-05,0,'QSO','BROADLINE'
7058,56593,958,'v5_10_0',Decimal('7946864986143301632'),43.560903,-7.57652,30.53,1.47224,0.000292,0,'QSO','BROADLINE'
7059,56592,382,'v5_10_0',Decimal('7947832556358967296'),43.43872,-8.064834,24.44,2.08429,0.00029,0,'QSO','BROADLINE'
7059,56592,922,'v5_10_0',Decimal('7947980990428717056'),45.089172,-7.249704,45.28,0.38848,2.90E-05,0,'QSO','STARBURST BROADLINE'
7184,56629,734,'v5_10_0',Decimal('8088666802358296576'),28.875116,-8.951134,50.81,0.164691,2.20E-05,0,'QSO','BROADLINE'
7235,56603,78,'v5_10_0',Decimal('8145907377264107520'),38.342345,-4.918564,39.94,0.78046,5.70E-05,0,'QSO','BROADLINE'
7235,56603,183,'v5_10_0',Decimal('8145936239444336640'),37.731415,-5.41243,30.91,1.24027,0.000202,0,'QSO','BROADLINE'
7235,56603,274,'v5_10_0',Decimal('8145961253333868544'),37.368374,-5.190296,30.91,0.306824,4.40E-05,0,'QSO','BROADLINE'
7235,56603,318,'v5_10_0',Decimal('8145973347961774080'),37.190122,-5.04223,12.88,0.259253,2.80E-05,0,'QSO','BROADLINE'
7235,56603,773,'v5_10_0',Decimal('8146098417409433600'),37.516964,-4.709127,30.01,1.16436,0.000113,0,'QSO','BROADLINE'
7236,56605,148,'v5_10_0',Decimal('8147052518657990656'),35.778149,-5.09146,7.02,0.329725,4.40E-05,0,'QSO','AGN BROADLINE'
7236,56605,538,'v5_10_0',Decimal('8147159721041698816'),34.169737,-4.734692,49.61,0.87452,7.80E-05,0,'QSO','BROADLINE'
7236,56605,601,'v5_10_0',Decimal('8147177038349836288'),34.748957,-4.043658,19.78,0.203265,1.80E-05,0,'QSO','AGN BROADLINE'
7237,56662,291,'v5_10_0',Decimal('8148217727061827584'),33.479768,-5.855919,33.45,0.140373,3.00E-05,0,'QSO','STARBURST BROADLINE'
7237,56662,380,'v5_10_0',Decimal('8148242191195545600'),33.344021,-5.683423,34.83,0.768017,7.70E-05,0,'QSO','BROADLINE'
7237,56662,512,'v5_10_0',Decimal('8148278475079262208'),32.378223,-4.640587,49.85,1.13094,9.80E-05,0,'QSO','BROADLINE'
7237,56662,668,'v5_10_0',Decimal('8148321356032745472'),33.533636,-3.884696,40.38,0.986237,8.70E-05,0,'QSO','BROADLINE'
7237,56662,678,'v5_10_0',Decimal('8148324104811814912'),33.478603,-3.941529,32.5,1.42085,0.000165,0,'QSO','BROADLINE'
7836,57278,214,'v5_10_0',Decimal('8822610615996489728'),29.791919,1.087363,38.91,0.217444,2.10E-05,0,'QSO','BROADLINE'
431,51877,564,'26',Decimal('485417922479548416'),114.41652,38.737029,37.38,1.40116,0.000149,0,'QSO','BROADLINE'
432,51884,256,'26',Decimal('486459160108492800'),114.38756,39.343725,56.64,1.73128,0.000137,0,'QSO','BROADLINE'
434,51885,46,'26',Decimal('488653235578497024'),117.93811,41.259968,15.96,0.429012,7.70E-05,0,'GALAXY',''
434,51885,197,'26',Decimal('488694742142445568'),117.07073,42.419267,56.34,1.10688,0.000257,0,'QSO','BROADLINE'
434,51885,510,'26',Decimal('488780778927319040'),117.72767,42.872021,73.41,1.90059,0.000101,0,'QSO','BROADLINE'
434,51885,567,'26',Decimal('488796446968014848'),118.18599,43.684808,18.82,0.179964,3.00E-05,0,'QSO','STARBURST BROADLINE'
438,51884,18,'26',Decimal('493149138607695872'),122.28393,46.323778,37.11,0.655369,8.00E-05,0,'QSO','BROADLINE'
438,51884,243,'26',Decimal('493210986136758272'),120.1568,46.216089,26.37,0.239116,4.20E-05,0,'QSO','STARBURST BROADLINE'
439,51877,19,'26',Decimal('494275313275004928'),123.16841,44.20858,34.24,1.01069,0.000211,0,'QSO','BROADLINE'
441,51868,278,'26',Decimal('496598306315593728'),123.8203,46.075269,50.75,0.041023,2.00E-05,0,'QSO','STARBURST BROADLINE'
441,51868,599,'26',Decimal('496686542123722752'),125.61175,47.849771,39.51,1.12401,0.000129,0,'QSO','BROADLINE'
